year,total_fires,total_acres_burned,,,,,,,,,
1992,67961,2199923,,,,,,,,,
1993,61975,2191587,,,,,,,,,
1994,75932,4115582,,,,,,,,,
1995,71440,2049553,,,,,,,,,
1996,75561,6004833,,,,,,,,,
1997,61442,3231569,,,,,,,,,
1998,68356,2015942,,,,,,,,,
1999,89350,6136947,,,,,,,,,
2000,96397,7777189,,,,,,,,,
2001,87001,3836399,,,,,,,,,
2002,76128,6824144,,,,,,,,,
2003,68275,4511189,,,,,,,,,
2004,69370,8248571,,,,,,,,,
2005,92921,9710849,,,,,,,,,
2006,117943,10082825,,,,,,,,,
2007,98837,9281711,,,,,,,,,
2008,88306,5427427,,,,,,,,,
2009,81492,6094980,,,,,,,,,
2010,85579,3526451,,,,,,,,,
2011,98904,9685309,,,,,,,,,
2012,74258,9448555,,,,,,,,,
2013,66434,4494424,,,,,,,,,
2014,70480,3676997,,,,,,,,,
2015,77275,10226169,,,,,,,,,
2016,81994,5363710,,,,,,,,,
2017,82279,10245663,,,,,,,,,
2018,80863,8243921,,,,,,,,,
